日期,股票代码,公司名称,行业板块,财务科目,科目类别,金额(万元),同比变化(%),季度,年度
2024-01-31,000651,格力电器,家电,毛利率,财务指标,29.13,1.25,Q1,2024
2024-01-31,000651,格力电器,家电,净利率,财务指标,10.62,0.18,Q1,2024
2024-01-31,002415,海康威视,电子,营业收入,利润表,568200.00,12.80,Q1,2024
2024-01-31,002415,海康威视,电子,营业成本,利润表,358600.00,10.50,Q1,2024
2024-01-31,002415,海康威视,电子,毛利润,利润表,209600.00,16.50,Q1,2024
2024-01-31,002415,海康威视,电子,净利润,利润表,98500.00,15.20,Q1,2024
2024-01-31,002415,海康威视,电子,总资产,资产负债表,2856000.00,10.20,Q1,2024
2024-01-31,002415,海康威视,电子,总负债,资产负债表,1258000.00,8.50,Q1,2024
2024-01-31,002415,海康威视,电子,所有者权益,资产负债表,1598000.00,11.80,Q1,2024
2024-01-31,002415,海康威视,电子,经营活动现金流,现金流量表,85600.00,18.20,Q1,2024
2024-01-31,002415,海康威视,电子,投资活动现金流,现金流量表,-45200.00,-15.80,Q1,2024
2024-01-31,002415,海康威视,电子,筹资活动现金流,现金流量表,-28500.00,-10.20,Q1,2024
2024-01-31,002415,海康威视,电子,研发费用,利润表,52800.00,32.50,Q1,2024
2024-01-31,002415,海康威视,电子,销售费用,利润表,42500.00,10.80,Q1,2024
2024-01-31,002415,海康威视,电子,管理费用,利润表,28600.00,8.50,Q1,2024
2024-01-31,002415,海康威视,电子,财务费用,利润表,5200.00,15.80,Q1,2024
2024-01-31,002415,海康威视,电子,每股收益,财务指标,1.06,15.20,Q1,2024
2024-01-31,002415,海康威视,电子,净资产收益率,财务指标,6.16,0.45,Q1,2024
2024-01-31,002415,海康威视,电子,毛利率,财务指标,36.89,1.85,Q1,2024
2024-01-31,002415,海康威视,电子,净利率,财务指标,17.34,0.35,Q1,2024
2024-01-31,300750,宁德时代,新能源,营业收入,利润表,885600.00,25.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,营业成本,利润表,685200.00,22.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,毛利润,利润表,200400.00,35.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,净利润,利润表,105600.00,28.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,总资产,资产负债表,6586000.00,32.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,总负债,资产负债表,4258000.00,28.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,所有者权益,资产负债表,2328000.00,38.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,经营活动现金流,现金流量表,158600.00,42.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,投资活动现金流,现金流量表,-285600.00,-35.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,筹资活动现金流,现金流量表,185600.00,45.20,Q1,2024
2024-01-31,300750,宁德时代,新能源,研发费用,利润表,68500.00,42.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,销售费用,利润表,32500.00,28.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,管理费用,利润表,28600.00,22.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,财务费用,利润表,18500.00,35.80,Q1,2024
2024-01-31,300750,宁德时代,新能源,每股收益,财务指标,4.28,28.50,Q1,2024
2024-01-31,300750,宁德时代,新能源,净资产收益率,财务指标,4.53,0.85,Q1,2024
2024-01-31,300750,宁德时代,新能源,毛利率,财务指标,22.63,2.15,Q1,2024
2024-01-31,300750,宁德时代,新能源,净利率,财务指标,11.92,0.25,Q1,2024
2024-01-31,601012,隆基绿能,新能源,营业收入,利润表,358600.00,15.80,Q1,2024
2024-01-31,601012,隆基绿能,新能源,营业成本,利润表,285200.00,12.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,毛利润,利润表,73400.00,28.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,净利润,利润表,45600.00,18.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,总资产,资产负债表,2856000.00,18.80,Q1,2024
2024-01-31,601012,隆基绿能,新能源,总负债,资产负债表,1658000.00,15.20,Q1,2024
2024-01-31,601012,隆基绿能,新能源,所有者权益,资产负债表,1198000.00,22.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,经营活动现金流,现金流量表,52800.00,25.80,Q1,2024
2024-01-31,601012,隆基绿能,新能源,投资活动现金流,现金流量表,-125600.00,-28.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,筹资活动现金流,现金流量表,85600.00,32.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,研发费用,利润表,28500.00,38.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,销售费用,利润表,18500.00,15.80,Q1,2024
2024-01-31,601012,隆基绿能,新能源,管理费用,利润表,12800.00,12.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,财务费用,利润表,8500.00,22.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,每股收益,财务指标,0.60,18.50,Q1,2024
2024-01-31,601012,隆基绿能,新能源,净资产收益率,财务指标,3.80,0.55,Q1,2024
2024-01-31,601012,隆基绿能,新能源,毛利率,财务指标,20.47,2.85,Q1,2024
2024-01-31,601012,隆基绿能,新能源,净利率,财务指标,12.72,0.28,Q1,2024
2024-01-31,600276,恒瑞医药,医药,营业收入,利润表,258600.00,8.50,Q1,2024
2024-01-31,600276,恒瑞医药,医药,营业成本,利润表,45800.00,5.20,Q1,2024
2024-01-31,600276,恒瑞医药,医药,毛利润,利润表,212800.00,9.20,Q1,2024
2024-01-31,600276,恒瑞医药,医药,净利润,利润表,68500.00,10.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,总资产,资产负债表,1856000.00,8.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,总负债,资产负债表,458000.00,5.50,Q1,2024
2024-01-31,600276,恒瑞医药,医药,所有者权益,资产负债表,1398000.00,10.20,Q1,2024
2024-01-31,600276,恒瑞医药,医药,经营活动现金流,现金流量表,52800.00,12.50,Q1,2024
2024-01-31,600276,恒瑞医药,医药,投资活动现金流,现金流量表,-28500.00,-8.50,Q1,2024
2024-01-31,600276,恒瑞医药,医药,筹资活动现金流,现金流量表,-15800.00,-5.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,研发费用,利润表,52800.00,35.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,销售费用,利润表,85600.00,6.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,管理费用,利润表,18500.00,5.20,Q1,2024
2024-01-31,600276,恒瑞医药,医药,财务费用,利润表,-2800.00,-12.50,Q1,2024
2024-01-31,600276,恒瑞医药,医药,每股收益,财务指标,1.08,10.80,Q1,2024
2024-01-31,600276,恒瑞医药,医药,净资产收益率,财务指标,4.90,0.35,Q1,2024
2024-01-31,600276,恒瑞医药,医药,毛利率,财务指标,82.29,0.55,Q1,2024
2024-01-31,600276,恒瑞医药,医药,净利率,财务指标,26.49,0.55,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,营业收入,利润表,185600.00,18.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,营业成本,利润表,28500.00,10.20,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,毛利润,利润表,157100.00,20.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,净利润,利润表,85600.00,15.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,总资产,资产负债表,1256000.00,12.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,总负债,资产负债表,358000.00,8.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,所有者权益,资产负债表,898000.00,14.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,经营活动现金流,现金流量表,98500.00,18.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,投资活动现金流,现金流量表,-18500.00,-12.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,筹资活动现金流,现金流量表,-28600.00,-15.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,研发费用,利润表,1850.00,28.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,销售费用,利润表,18500.00,12.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,管理费用,利润表,8500.00,8.50,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,财务费用,利润表,-1800.00,-15.20,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,每股收益,财务指标,5.82,15.80,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,净资产收益率,财务指标,9.53,0.85,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,毛利率,财务指标,84.64,1.55,Q1,2024
2024-01-31,000568,泸州老窖,食品饮料,净利率,财务指标,46.12,-1.15,Q1,2024
